9|2916
1|2914
19|2913
12|2926
1|2937
9|2939
7|2940
2|2938
26|2920
3|2941
15|2942
29|2943
19|2945
13|2944
2|2947
1|2946
7|2917
1|2963
9|2955
7|2956
2|2964
7|2966
3|2967
19|2962
14|2968
1|2953
12|2970
15|2959
12|2961
9|2975
7|2976
3|2957
2|2954
26|2969
1|2973
40|2960
14|2958
9|2965
1|2980
2|2981
9|2982
7|2983
1|2991
7|2994
2|2992
2|2974
9|2993
1|3012
9|3014
1|3001
2|3013
13|3023
9|3027
3|3016
2|3002
9|3003
2|3026
1|3025
7|3015
1|3042
7|3045
15|3050
2|3043
7|3028
9|3044
9|3058
6|3061
3|3060
2|3057
1|3056
7|3059
1|3076
7|3079
68|3071
19|3075
2|3077
9|3100
1|3098
2|3099
1|3119
7|3101
9|3121
33|3114
2|3120
33|3133
13|3132
7|3122
9|3136
2|3143
9|3144
1|3142
1|3134
12|3148
2|3135
1|3150
19|3149
7|3145
7|3137
1|3166
7|3153
2|3160
1|3159
13|3158
3|3163
7|3162
2|3151
2|3167
9|3161
12|3157
9|3168
14|3155
12|3165
15|3156
3|3154
1|3175
14|3171
2|3176
7|3178
12|3174
29|3173
9|3177
3|3170
7|3169
9|3195
26|3172
9|3152
1|3193
2|3194
7|3196
1|3208
7|3211
9|3210
1|3219
2|3220
2|3209
7|3222
7|3238
9|3237
2|3236
33|3204
1|3235
1|3250
9|3221
33|3246
21|3257
9|3252
2|3251
14|3255
12|3259
3|3254
5|3258
7|3253
6|3266
9|3263
2|3262
28|3260
12|3269
19|3271
3|3276
1|3272
26|3256
7|3264
1|3261
14|3267
28|3281
9|3274
3|3265
7|3275
1|3285
2|3286
7|3288
9|3287
2|3273
1|3304
2|3324
9|3306
7|3307
1|3323
2|3305
7|3326
2|3341
9|3325
9|3342
7|3343
22|3346
6|3345
1|3340
11|3350
26|3347
3|3344
4|3349
19|3364
18|3352
19|3356
2|3367
19|3361
19|3363
19|3362
7|3369
33|3354
19|3365
12|3351
19|3359
19|3360
9|3368
14|3373
6|3371
15|3375
19|3357
1|3366
31|3378
18|3380
4|3376
52|3377
13|3353
12|3379
19|3385
3|3370
28|3382
19|3384
19|3386
19|3388
19|3389
19|3390
1|3395
26|3374
19|3383
7|3398
19|3387
19|3391
17|3381
19|3394
2|3396
22|3372
19|3392
19|3393
9|3397
15|3402
